"filename", "language", "TypeScript", "JSON", "CSS", "HTML", "SCSS", "JavaScript", "Markdown", "JSON with Comments", "comment", "blank", "total"
"/Users/mattluca/Documents/SAC STATE/CSC 191/Dajani Ticketing System/DajaniTicketingSystem/frontend-app/src/environments/environment.prod.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/Users/mattluca/Documents/SAC STATE/CSC 191/Dajani Ticketing System/DajaniTicketingSystem/frontend-app/src/environments/environment.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 11, 3, 21
"/Users/mattluca/Documents/SAC STATE/CSC 191/Dajani Ticketing System/DajaniTicketingSystem/frontend-app/src/index.html", "HTML", 0, 0, 0, 17, 0, 0, 0, 0, 0, 1, 18
"/Users/mattluca/Documents/SAC STATE/CSC 191/Dajani Ticketing System/DajaniTicketingSystem/frontend-app/src/main.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13
"/Users/mattluca/Documents/SAC STATE/CSC 191/Dajani Ticketing System/DajaniTicketingSystem/frontend-app/src/polyfills.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 47, 5, 57
"/Users/mattluca/Documents/SAC STATE/CSC 191/Dajani Ticketing System/DajaniTicketingSystem/frontend-app/src/styles.css", "CSS", 0, 0, 42, 0, 0, 0, 0, 0, 8, 12, 62
"/Users/mattluca/Documents/SAC STATE/CSC 191/Dajani Ticketing System/DajaniTicketingSystem/frontend-app/src/test.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 4, 5, 27
"/Users/mattluca/Documents/SAC STATE/CSC 191/Dajani Ticketing System/DajaniTicketingSystem/frontend-app/tsconfig.app.json", "JSON", 0, 14, 0, 0, 0, 0, 0, 0, 1, 1, 16
"/Users/mattluca/Documents/SAC STATE/CSC 191/Dajani Ticketing System/DajaniTicketingSystem/frontend-app/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 32, 1, 1, 34
"/Users/mattluca/Documents/SAC STATE/CSC 191/Dajani Ticketing System/DajaniTicketingSystem/frontend-app/tsconfig.spec.json", "JSON", 0, 17, 0, 0, 0, 0, 0, 0, 1, 1, 19
"Total", "-", 1677, 20707, 442, 451, 13, 37, 14, 32, 503, 668, 24544
